rank,team,winpercentage,rating,averageMOV,averageMOL,conference,rawRank
25,Illinois,0.538461538461538,0.682369633808421,23.8571428571429,8.16666666666667,Big Ten Conference,0.246753714980607
26,Air Force,0.692307692307692,0.678070317898026,18.6666666666667,10.25,Mountain West Conference,0.240869743375373
27,Tulsa,0.769230769230769,0.67582927846662,18.6,14,Conference USA,0.237802694477469
28,Texas A&M,0.692307692307692,0.674660431605906,18.7777777777778,12,Big 12 Conference,0.236203030305586
29,Florida,0.615384615384615,0.66032122517077,23.625,15.6,Southeastern Conference,0.216578633276123
30,Mississippi State,0.692307692307692,0.655637709415281,19,13,Southeastern Conference,0.210168852268235
31,USC,0.615384615384615,0.649896751627091,14.125,11.4,Pacific-10 Conference,0.202311873794927
32,Hawai'i,0.714285714285714,0.647278785176368,29,23.25,Western Athletic Conference,0.198728968896529
33,Utah,0.769230769230769,0.646811293513454,25.4,29.3333333333333,Mountain West Conference,0.198089167647478
34,Arizona State,0.5,0.646799466258972,23.3333333333333,8.83333333333333,Pacific-10 Conference,0.198072981065794
35,Northern Illinois,0.785714285714286,0.64647362664665,26.8181818181818,9.33333333333333,Mid-American Conference,0.197627042495067
36,Miami (Florida),0.538461538461538,0.632971171538917,21.5714285714286,13,Atlantic Coast Conference,0.179147809260925
37,Maryland,0.692307692307692,0.621701510151359,21,14.5,Atlantic Coast Conference,0.163724339968289
38,Oregon State,0.416666666666667,0.615474443711622,13.8,14,Pacific-10 Conference,0.155202081371662
39,UCF,0.785714285714286,0.610502556387309,20.9090909090909,7,Conference USA,0.148397639929666
40,Arizona,0.538461538461538,0.60142488830514,21.1428571428571,12.6666666666667,Pacific-10 Conference,0.135974095834908
41,San Diego State,0.692307692307692,0.599140772064152,20.3333333333333,3.75,Mountain West Conference,0.132848092715788
42,Navy,0.692307692307692,0.597620550385166,13.1111111111111,8.75,Independent,0.130767542895382
43,California,0.416666666666667,0.580747688950287,32.4,17.5714285714286,Pacific-10 Conference,0.107675628093742
44,Georgia,0.461538461538462,0.565923196664458,31.1666666666667,8.14285714285714,Southeastern Conference,0.0873870770370807
45,North Carolina,0.615384615384615,0.563290609150958,10.25,11,Atlantic Coast Conference,0.0837841619806963
46,Washington,0.538461538461538,0.54377956982584,8.85714285714286,26.5,Pacific-10 Conference,0.0570816812182444
47,Penn State,0.538461538461538,0.539067116240953,16.5714285714286,17.5,Big Ten Conference,0.0506322964819605
48,Troy,0.615384615384615,0.53386551554236,16.25,16,Sun Belt Conference,0.0435134731071783
