rank,team,winpercentage,rating,averageMOV,averageMOL,conference,rawRank
38,Missouri,0.583333333333333,0.62507000095346,29.8571428571429,23.6,SEC-East,0.185681825232853
39,Texas A&M,0.583333333333333,0.61962727430078,14,13.8,SEC-West,0.177463367391872
40,Troy,0.818181818181818,0.614226353381008,18.3333333333333,11,Sun Belt,0.169308035760755
41,Oregon,0.583333333333333,0.612774625274805,31.4285714285714,23.8,Pac-12-North,0.167115942190772
42,Ohio,0.666666666666667,0.605187437984049,24.25,9,MAC-East,0.155659372142842
43,South Carolina,0.666666666666667,0.596630543905061,11.75,13.75,SEC-East,0.142738555412881
44,Georgia Tech,0.454545454545455,0.587677878283528,18.2,12.3333333333333,ACC-Coastal,0.129220128018169
45,Navy,0.545454545454545,0.58715690456126,8.5,7.6,AAC-West,0.128433463407448
46,SMU,0.583333333333333,0.582768438147961,17.1428571428571,12.8,AAC-West,0.121806926998318
47,Kentucky,0.583333333333333,0.580543519919935,9.14285714285714,19.6,SEC-East,0.118447324719388
48,Florida St,0.454545454545455,0.572519472467089,20.8,13.1666666666667,ACC-Atlantic,0.106331100631144
49,Arkansas St,0.7,0.571648797658807,27.4285714285714,11.6666666666667,Sun Belt,0.105016391189574
50,N Illinois,0.666666666666667,0.56849256413826,17.25,6.5,MAC-West,0.100250513027365
51,North Texas,0.75,0.564768550594315,14.2222222222222,25.6666666666667,CUSA-West,0.0946272932017436
